,participantId,itemId,itemType,weak,strong,antonym,lowfreq1,lowfreq2,derivationStrength,strongRating,antonymRating,speakerType,speakerGender,freqRatio,ToM
33,Radion,17,unambiguous,one,two,three,forty,,100,0,0,nonnative,female,0.177048546749556,90
34,19970528,18,unambiguous,green,blue,purple,maroon,pink,99,0,1,nonnative,male,-0.027762512341072,90
35,Radion,18,unambiguous,green,blue,purple,maroon,pink,100,0,0,nonnative,female,-0.027762512341072,90
36,19970528,19,unambiguous,first,second,third,middling,orderly,100,0,0,nonnative,female,0.650663796210003,90
37,Radion,19,unambiguous,first,second,third,middling,orderly,100,0,0,native,male,0.650663796210003,90
38,19970528,20,unambiguous,typed,additive,heavy,religious,beautiful,97,3,0,native,male,2,90
39,Radion,20,unambiguous,typed,additive,heavy,religious,beautiful,100,0,0,nonnative,male,2,90
40,19970528,21,unambiguous,up,down,left,rhetorical,intrinsic,100,0,0,native,female,2.51398146155142,90
41,Radion,21,unambiguous,up,down,left,rhetorical,intrinsic,100,0,0,native,female,2.51398146155142,90
42,19970528,22,unambiguous,sunny,cloudy,rainy,definite,vacant,100,0,0,nonnative,female,0.556727072589061,90
43,Radion,22,unambiguous,sunny,cloudy,rainy,definite,vacant,100,0,0,nonnative,male,0.556727072589061,90
44,19970528,23,unambiguous,full,nearby,rare,pregnant,confident,97,0,3,native,female,0.749056958226245,90
45,Radion,23,unambiguous,full,nearby,rare,pregnant,confident,100,0,0,nonnative,male,0.749056958226245,90
46,19970528,24,unambiguous,light,far,extinct,ill,ongoing,94,6,0,native,male,0.339944025611369,90
47,Radion,24,unambiguous,light,far,extinct,ill,ongoing,100,0,0,native,male,0.339944025611369,90
48,19970528,25,unambiguous,yellow,red,beige,purple,cyan,100,0,0,native,male,-0.46971446734804,90
49,Radion,25,unambiguous,yellow,red,beige,purple,cyan,100,0,0,native,male,-0.46971446734804,90
50,19970528,27,unambiguous,alive,dead,neutral,accurate,detailed,100,0,0,nonnative,female,-0.357710157286516,90
51,Radion,27,unambiguous,alive,dead,neutral,accurate,detailed,100,0,0,native,female,-0.357710157286516,90
52,19970528,28,unambiguous,male,female,unsure,youthful,thankful,100,0,0,native,female,-0.050684717774211,90
53,Radion,28,unambiguous,male,female,unsure,youthful,thankful,100,0,0,native,male,-0.050684717774211,90
54,19970528,29,unambiguous,elderly,young,ten,successful,double,100,0,0,native,female,-1.16370574101257,90
55,Radion,29,unambiguous,elderly,young,ten,successful,double,100,0,0,nonnative,male,-1.16370574101257,90
56,19970528,30,unambiguous,six,four,five,multiple,literal,100,0,0,nonnative,male,-0.220968441797306,90
57,Radion,30,unambiguous,six,four,five,multiple,literal,100,0,0,nonnative,female,-0.220968441797306,90
58,19970528,31,unambiguous,pointy,round,sharp,hexagonal,tied,100,0,0,nonnative,male,-1.39777875572972,90
59,Radion,31,unambiguous,pointy,round,sharp,hexagonal,tied,100,0,0,nonnative,female,-1.39777875572972,90
60,19970528,32,unambiguous,odd,even,prime,passive,cloudy,100,0,0,nonnative,male,1.02291538824324,90
61,Radion,32,unambiguous,odd,even,prime,passive,cloudy,100,0,0,native,female,1.02291538824324,90
