participant,audio1,audio2,audio3
6a1cb95bf369926ac77ea9e5,the word i choose is,the word i choose is tied,i chose the one in the centre for the word fat because in the five choices of the words there's one that's monstrous which would be the bottom largest cartoon character of this man and then would be the top so it has to be fat which would be in the middle
6a0a0fd9f370053c3505dc0f,,,
69c2f0033339865c279814ca,the word i choose is first,word i choose is tied,i put those sliders in those positions because number two is fat on a 3 is a bit fatter so there's a possible chance that could be either one of the two but i'm leaving more toward it being too so maybe i should have split it up a bit more i didn't pick one because it's only one where the guy is slim and not fat it's only 2 and 3 were the best choices that i made
6a150fcbc5238897c2c9408e,where did i choose is first,,of the options good would be a better representation for 4 stars while excellent will be better for five stars bad would be appropriate for two stars
699e3cc79b0d3d96b469ca49,the word i choose is first,word i choose is tied,i put the slider primarily at the four star image for the highest percentage 75% just in consideration that excellent is one of the other words this speaker also sounds like a native english speaker so i would expect that they understand difference between excellent and good and would have purposely chosen the word good to indicate that it was you know a good score rating is good but it's not excellent like a five-star rating is
6a1f832105dd8c89b5e930ad,first,,put the letters in these positions because i don't really understand i know she's like angry but the last one looks that the first one looks disgusted the last one looks like she could be upset
66da162f5538535e93490441,the word i choose is last,the word i choose is tied,however her face is set up so that she might be the kind of person who's anger sits underneath the surface so when she is really angry her face goes neutral rather than demonstrating the typical facial expression of anger
69f674db81cb46678aae6391,the word i choose is first,word i choose is tied,i tried to do 50/50 i just couldn't adjust them that way because of my screen but it's because number one that i think she probably chose because there's an outraged option that would probably describe number three i don't think number one looks mad at all so you know i tried to split it between the two
6978d830c5d415696508430d,the word i choose is last,the word i choose is hexagonal,like all the sliders ok well it was pretty clear this was a really easy experiment i'm concerned about my own recording at the beginning and because i didn't see anything highlighted but in this case of the people other people who recorded the hints were very useful so pretty much all of them pointed clearly to the one that i think it was and so i put 100 for a lot of them only in certain very rare scenarios did i not think for sure it was 100 so i thought the hints were very easy
69d5632f4815bcc4cb7242bf,the word i would choose is block,i would choose this time,because i was 100% sure that that's what they meant
69f8db35f08d6c337883fcb4,first,tide,the word that was spoken match the picture in one way or another
6a0fdfd2db4241c9e5eca29a,the word i choose is first,the word i choose is tied,i put the sliders in the position number two she does look very angry but i gave number three four because that look that hollow look in the eyes makes me makes it feel like she's a little angry
69daf476f6bc0d990581aca6,the word i choose is first,the word i choose is tied,i chose to put it in on 100 because the other ones don't look they don't they don't follow the emotion that was expressed
66577b950cf252021eff76f8,,,
6a1a3e6d47ea4b557072cc4d,the word i choose is first,the word i choose is tied,so sometimes it was very direct and which there was no other word in the list that could have been used to describe an object like if it was just up and there was one hour pointing up and no other ones and that was a clear answer however sometimes there was an option in which one word could have fit if there wasn't a better word there to describe that option relative to the other ones like if they're often was big or enormous and the images i would otherwise be described as you know big but giving it was the most extreme option i would have chosen it as enormous or if i would other
6a3607f677860830aca5bdeb,the word i choose is first,the word i choose is tied,i put the slider on two at 100 because 3 is 5 stars and that would be excellent and one is two stars which is pretty bad and the word was good so that would be in the middle between two stars and 5 stars which is what number two is and that's 4 stars
69f86a04fe802de5002bb70b,,the word i choose is tied,i chose to place the sliders how they are because given the fact that excellent is an option only describing the five stars and that word wasn't chosen it seems completely obvious and only logical that the word good would apply the four star option by deduction
6a2589e7b0645f2f7f1cc52c,the word i chose is first,kardashian's tide,
6a061f0e3198b87bb067f8ee,the word i choose is first,the word i choose is tied,
6a14c84872f3851ab32e8c01,,the word i chose is tied,opin
661c09a749790db73f8faba5,the word i chose is first,where did i chose is tied,play to put the sliders in the positions because i use the key context for every image that was used and i looked at the other keywords as well and decided what was the most fitting so like for this example 4 stars usually means good while five stars usually means x line or perfect
69bdf2afe629d42bfc47997f,the word i choose is first,word i choose is tied,i chose to put 100% for the four star option because the five star is excellent in the two star is bad
6a023ad806e8158958e73b75,the word i choose is first,the word i choose is tied,and the words there's also obese which i feel like would fit for number 3 so i chose number 2 for that because that made more sense
69fb86296fb6f0919bf31075,portage is last,should i choose is hexagonal,because it was like cheese and angry but not too angry and at the top number one would look like she would be more relentless or outrage versus angry so that's why i put that
6a01e843af8198a220b44a18,the word i choose is first,i choose this tide,i chose to put the slider in that position because it seems to match the description of what the participant was saying
69cec122e3cb56c2e7000c6b,,the word i choose is tied,
6a14ed7d826b3c0b54334269,,,
6a0dfefeb75ae8ac09c192c6,the word i chose is first,word i chose is tied,two stars isn't bad but it's not a really good 4 stars i would say great and then five stars would be excellent
69fcc8642de981c893eb6958,first,,4 star would be good but i thought maybe because of the language barrier they might have trouble distinguishing between good and excellent
69f0438cc141b27ed949788e,the word i choose is first,the word i choose is tied,just okay i think that 3 to 4 in this case it's 4 is good and then i chose all or i didn't so i chose for cuz i think it's good i didn't choose five because in my mind 5 would be excellent and then one would be bad and then i think two is good
699cebf39bc275a312ffd51c,the word i choose is first,word i choose is tied,i decided to put the sliders in those positions because according to the words that we had to choose from i i tried to do like process of elimination there were a couple that i was in certain of completely so i just kind of tried to do yeah the process of elimination
699b610e2ba4bade6f39121b,the word i choose is first,the word i choose is tied,well the only feasible options are bad good and excellent excellent would be 5 5 stars goods 4 stars and badge 2 stars
695ea002344d7ca1605c747a,where did i choose is first,shoes is tied,the top one looks more angry than the others do
6a012d3c523e7311f4e55f61,word i choose is randomized,the word i choose is tied,what does the word being good i feel like 4 stars would be a good writing whereas i feel like two stars would be a low rating and i feel like three stars would be the highest rating which would be like an excellent rating so i feel like good is like 4 stars
69fb3314a5e95601464d1fea,the word i choose is first,the word i choose is tied,
6a14434573bcee3f17b7f762,the word i choose is first,the word i choose is tied,i moved the sliders in the five star position for 76% because that is good and i also gave some of the slider to the four star choice
6a1ae40320c9511f890515f7,the word i choose is first,the word i choose is tied,i decided to put the sliders in the positions that i did because the one word that the participant partner had picked i felt best described the picture that i was trying to match
66315563a848526fcfa7555b,the word i chose is first,the word i chose is tied,one character is bigger than the other
69c093d33989aa791c4e8b2d,the word i choose is first,the word i choose is tied,i put 94% for 4 stars because it was just good it wasn't excellent but if the person saying that might not have seen all the choices he could have put five stars as good because they're both good
69a0734d1d433d3694c8438f,where did i choose is first,,obese doesn't seem like a word that would be learnt very quickly in the english language so i would assume that a person unfamiliar would choose the fattest picture
6a0b756dd47d16a4c82f5589,the word i choose is first,the word i choose is tied,that seems to be the middle option of all the word options available because there's thin and obese on the other end also potentially monstrous i figured anyone who read all the options would probably use fat as the middle option for the pictures but i figured some people may not have read through all the options and may have selected fat for the fattest option from the pictures
69f3d4f3fb7630947c56f1eb,the word i choose is first,the word i choose is tied,one of the faces is like pretty neutral one of them is happy and there's basically only one negative one from like frown and eyebrows and stuff and so i put it all on that one
6a14e67cf20909f60e34ae64,the word i choose is first,the word i choose is chronic,the official expression of number 3 is definitely showing angry but it could be discussed and in some cultures that straight face that number one is showing could be a sign of anchor some trying to work in a cultural perspective as well with that one so that's why i said it's probably number three it would be for a lot of cultures but number one is still a very big possibility especially for asian cultures
69d2a8765e19038ab2fc0f56,word i choose is first,i choose is tied,
6a00dbcc626a780a8e5c07a4,should i choose is a first,where did i choose is tied,that position because he did not say excellent which means it's probably not five stars and he's not saying bad which would have been two stars instead he said good which means it's middle of the road
69c6ec3a92185003cf70ded5,the word i choose is first,the word i choose is tied,do you think two stars would be bad in 5 stars would be excellent so i assumed two is good
6a1de36b3f5c6160ff6bf6a4,where do i choose his first,,those pictures where the closest correlation to the word spoken
69e957ad6c65e153a1c65ae2,the word i choose is last,the word i choose is tied,for this one in particular i chose to do the slider at 100 i'm just because it was the only one that had any type of similarity to angry whereas the other ones were happy or just a blank face
